Date,Time,Site,Rep,FQ_ID,FQ_PH,FQ_chl,FQ_ratio,CF_PH,CF_chl,CF_ratio,temperature_C,DO_pct,turbidity,chl_RFU,maramataka,weather_description,water_description,
20/01/2025,10:00,Hannah's Bay ,1,A,0.1,6.7,0.01,1749.2,7104.5,0.24,21.3,102.3,1.4,2.75,Korekore-piri-ki-ng?-Tangaroa ,"Overcast, fine spells. ","Murky, slight wave action with wind. ",
,,,2,,0.1,8.91,0.01,1953.3,7560.6,0.25,,,,,,,,
,,,3,,0.1,8.57,0.01,2092.5,6816.5,0.3,,,,,,,,
,10:40,Te P?hue ,1,,0.1,0.75,0.13,120.9,630.67,0.19,22.2,88.5,0.45,0.31,,,"Clear, little wave action",
,,,2,,0.1,0.35,0.28,29.57,519.35,0.05,,,,,,,,
,,,3,,0.1,0.7,0.14,0.69,602.74,0.001,,,,,,,,
,10:53,Ohau Channel ,1,,0.1,2.77,0.03,265.77,839.96,0.31,20.2,80.6,1.02,0.5,,,"Clear, slight wave action",
,,,2,,0.1,2.22,0.04,440.97,906.26,0.48,,,,,,,,
,,,3,,0.1,1.68,0.05,98.1,2255.6,0.13,,,,,,,,
,11:23,Hamurana (bridge),1,,0.1,2.03,0.04,98.24,558.29,0.17,19.1,146.3,0.79,0.43,,,"Murky, slight wave action with wind. ",
,,,2,,0.1,2.23,0.04,239.72,1004.7,0.23,,,,,,,,
,,,3,,0.1,1.34,0.07,170.98,1013.5,0.16,,,,,,,,
,11:39,Hamurana (West),1,,0.1,1.49,0.06,109.91,509.35,0.21,21.8,124.5,0.6,0.28,,,"Murky, slight wave action with wind. ",
,,,2,,0.1,2.13,0.04,66.6,593.97,0.11,,,,,,,,
,,,3,,0.1,1.98,0.05,92.02,699.59,0.13,,,,,,,,
,11:56,Awahou (Tarimano),1,,64,1.78,35.95,72.12,315.75,0.22,14.7,100.1,0.81,0.07,,,"Clear, little wave action",
,,,2,,17.04,0.94,,92.71,215.45,0.43,,,,,,,,
,,,3,,0.1,2.27,0.04,36.41,167.45,0.21,,,,,,,,
,12:28,Ngongotaha ,1,,0.1,1.48,0.05,425.34,1112.3,0.2,19.5,109.8,2.92,0.41,,,"moderate wave action, murky water",
,,,2,,0.1,2.33,0.06,388.05,1471.4,0.43,,,,,,,,
,,,3,,0.1,1.09,0.05,561.02,1702.2,0.33,,,,,,,,
,,Te Koutou ,1,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,
,12:53,Lake Front ,1,,0.1,9.7,0.01,1555.6,5695.8,0.27,20.9,142.1,3.95,0.77,,,"moderate wave action, murky water",
,,,2,,0.1,7.93,0.01,1572,5353.9,0.2,,,,,,,,
,,,3,,0.1,6.36,0.01,1557,4443.2,0.35,,,,,,,,
,,,,,,,,,,,,,,,,,,
22/01/2025,10:27,Hannah's Bay ,1,A,0.1,5.47,0.01,891.47,9226.6,0.09,20,99.9,11.1,1.93,Tangaroa-?-roto ,"Overcast/fine spells , Southeasterlies","Murky, slight wave action with wind. ",
,,,2,,0.1,7.68,0.01,1021.2,8855,0.11,,,,,,,,
,,,3,,0.1,11.28,0,415.54,3046.7,0.13,,,,,,,,
,10:57,Te P?hue ,1,,0.1,1.14,0.08,132.57,527.75,0.25,20.1,91.8,0.64,0.22,,,"Clear, little wave action",
,,,2,,0.1,0.95,1.1,129.12,564.36,0.1,,,,,,,,
,,,3,,0.1,0.9,0.11,175.13,518.13,0.11,,,,,,,,
,11:14,Ohau Channel ,1,,0.1,3.4,0.02,269.22,440.52,0.61,19.9,91.2,0.85,0.21,,,"Murky (due to swimmers stirring up sediment), slight wave action. ",
,,,2,,0.1,1.68,0.05,878.41,699.81,1.35,,,,,,,,
,,,3,,0.1,3.65,0.02,901.07,3871,0.23,,,,,,,,
,11:37,Hamurana (bridge),1,,54.6,4.54,12.03,622.01,8021.2,0.07,17.5,121.8,4.35,4.53,,,"Murky, high wave action with wind ",
,,,2,,43.65,7.63,5.72,554.96,3684.3,0.15,,,,,,,,
,,,3,,28.78,5.67,5.07,730.78,5433.2,0.13,,,,,,,,
,11:54,Hamurana (West),1,,46,4.13,9.72,372.92,1485.4,0.25,19.2,103.8,11.37,1,,,"Murky, high wave action with wind ",
,,,2,,17.82,3.95,4.51,462.94,1700.9,0.27,,,,,,,,
,,,3,,49.13,2.57,19.11,393.58,1397.3,0.28,,,,,,,,
,,Awahou (Tarimano),1,,,,,,,,,,,,,,,
,,,2,,,,Temporary road closure to sample site ,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,
,12:21,Ngongotaha ,1,,10.78,4.75,2.25,455.34,1622.3,0.28,18.7,111.3,3.82,0.51,,,"moderate wave action, murky water",
,,,2,,0.1,3.75,0.02,388.05,1471.4,0.26,,,,,,,,
,,,3,,6.25,11.72,0.53,581.07,1712.2,0.33,,,,,,,,
,12:40,Te Koutu ,1,,0.1,2.13,0.04,585.15,2026.2,0.28,20.8,109,1.26,0.62,,,"moderate wave action, murky water",
,,,2,,0.1,4,0.02,320.07,1545.6,0.2,,,,,,,,
,,,3,,19.39,2.22,8.73,407.25,2622.4,0.15,,,,,,,,
,13:05,Lake Front ,1,,46,0.75,61.33,175.82,730.04,0.24,23,102.8,1.61,0.41,,,"moderate wave action, murky water",
,,,2,,0.1,1.83,0.05,284.35,1061.5,0.26,,,,,,,,
,,,3,,0.1,1.02,0.06,180.66,922.18,0.19,,,,,,,,
,,,,,,,,,,,,,,,,,,
24/01/2025,11:02,Hannah's Bay ,1,A,0.1,1.18,0.05,339.97,1262.1,0.27,21.8,96.6,1.14,1.01,?tane ,"Finespells, light winds ","Murky, lake weed wash up, moderate wave action ",
,,,2,,0.1,3.45,0.02,266.46,1699.1,0.16,,,,,,,,
,,,3,,0.1,4.29,0.02,302.87,1677.3,0.18,,,,,,,,
